	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV15108	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	NA	NA
ASV15109	Bacteria	NA	NA	NA	NA	NA	NA
ASV15110	Bacteria	NA	NA	NA	NA	NA	NA
ASV15111	Bacteria	NA	NA	NA	NA	NA	NA
ASV15112	Bacteria	NA	NA	NA	NA	NA	NA
ASV15113	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV15114	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	NA
ASV15115	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA011-D5	NA	NA
ASV15117	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15118	Bacteria	NA	NA	NA	NA	NA	NA
ASV15119	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15120	Bacteria	Myxococcota	NA	NA	NA	NA	NA
ASV15121	Bacteria	NA	NA	NA	NA	NA	NA
ASV15122	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Benthic_Group_D_and_DHVEG-1	NA	NA	NA
ASV15123	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15124	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV15125	Bacteria	NA	NA	NA	NA	NA	NA
ASV15126	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV15127	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV15128	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	NA	NA
ASV15129	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Pelagicoccus	NA
ASV15130	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Mucinivorans	NA
ASV15131	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA286-E23	NA	NA
ASV15133	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA
ASV15134	Bacteria	NA	NA	NA	NA	NA	NA
ASV15135	Bacteria	NA	NA	NA	NA	NA	NA
ASV15136	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatirhabdium	NA
ASV15137	Bacteria	NA	NA	NA	NA	NA	NA
ASV15138	Bacteria	NA	NA	NA	NA	NA	NA
ASV15139	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15140	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV15141	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	NA	NA	NA
ASV15142	Bacteria	NA	NA	NA	NA	NA	NA
ASV15143	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group	NA
ASV15144	Bacteria	NA	NA	NA	NA	NA	NA
ASV15145	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15146	Bacteria	NA	NA	NA	NA	NA	NA
ASV15147	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15148	Bacteria	NA	NA	NA	NA	NA	NA
ASV15149	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15150	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15151	Bacteria	Sva0485	NA	NA	NA	NA	NA
ASV15152	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV15153	Bacteria	NA	NA	NA	NA	NA	NA
ASV15154	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15155	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	NA	NA
ASV15156	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15157	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Megaira	NA
ASV15158	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	NA	NA
ASV15159	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15160	Bacteria	NA	NA	NA	NA	NA	NA
ASV15161	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15162	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetovibrio	NA
ASV15163	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV15164	Bacteria	NA	NA	NA	NA	NA	NA
ASV15165	Bacteria	NA	NA	NA	NA	NA	NA
ASV15166	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA
ASV15167	Bacteria	NA	NA	NA	NA	NA	NA
ASV15168	Archaea	NA	NA	NA	NA	NA	NA
ASV15169	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA
ASV15170	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA
ASV15171	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV15172	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15173	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group	NA
ASV15174	Bacteria	NA	NA	NA	NA	NA	NA
ASV15175	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV15176	Bacteria	NA	NA	NA	NA	NA	NA
ASV15177	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15178	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV15179	Bacteria	Planctomycetota	NA	NA	NA	NA	NA
ASV15180	Bacteria	Patescibacteria	Gracilibacteria	JGI_0000069-P22	NA	NA	NA
ASV15181	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	NA	NA
ASV15182	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15183	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15184	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15185	Bacteria	NA	NA	NA	NA	NA	NA
ASV15186	Bacteria	NA	NA	NA	NA	NA	NA
ASV15187	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
ASV15188	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	NA	NA
ASV15189	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV15190	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV15191	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15192	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	NA	NA	NA
ASV15193	Bacteria	NA	NA	NA	NA	NA	NA
ASV15194	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	NA
ASV15195	Bacteria	NA	NA	NA	NA	NA	NA
ASV15196	Bacteria	Planctomycetota	028H05-P-BN-P5	NA	NA	NA	NA
ASV15197	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	intestinihominis
ASV15199	Bacteria	Verrucomicrobiota	NA	NA	NA	NA	NA
ASV15200	Bacteria	Margulisbacteria	NA	NA	NA	NA	NA
ASV15201	Bacteria	NA	NA	NA	NA	NA	NA
ASV15202	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV15203	Archaea	NA	NA	NA	NA	NA	NA
ASV15204	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV15205	Bacteria	NA	NA	NA	NA	NA	NA
ASV15206	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Symphothece_PCC-7002	NA
ASV15207	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV15208	Bacteria	NA	NA	NA	NA	NA	NA
ASV15209	Bacteria	NA	NA	NA	NA	NA	NA
ASV15210	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	NA
ASV15211	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV15212	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
